,datetimehourly,weathertype
603,12/28/16 5:00,1
604,12/28/16 6:00,1
605,12/28/16 7:00,1
606,12/28/16 8:00,1
607,12/28/16 9:00,1
608,12/28/16 10:00,1
609,12/28/16 11:00,1
610,12/28/16 12:00,1
611,12/28/16 13:00,1
612,12/28/16 14:00,1
613,12/28/16 15:00,1
614,12/28/16 16:00,1
615,12/28/16 17:00,1
616,12/28/16 18:00,1
617,12/28/16 19:00,1
618,12/28/16 20:00,1
619,12/28/16 21:00,1
620,12/28/16 22:00,1
621,12/28/16 23:00,1
622,12/29/16 0:00,1
623,12/29/16 1:00,1
624,12/29/16 2:00,1
625,12/29/16 3:00,1
626,12/29/16 4:00,1
627,12/29/16 5:00,1
628,12/29/16 6:00,1
629,12/29/16 7:00,1
630,12/29/16 8:00,1
631,12/29/16 9:00,1
632,12/29/16 10:00,1
633,12/29/16 11:00,1
634,12/29/16 12:00,1
635,12/29/16 13:00,1
636,12/29/16 14:00,1
637,12/29/16 15:00,1
638,12/29/16 16:00,1
639,12/29/16 17:00,1
640,12/29/16 18:00,1
641,12/29/16 19:00,1
642,12/29/16 20:00,1
643,12/29/16 21:00,1
644,12/29/16 22:00,1
645,12/29/16 23:00,1
646,12/30/16 0:00,1
647,12/30/16 1:00,1
648,12/30/16 2:00,1
649,12/30/16 3:00,1
650,12/30/16 4:00,1
651,12/30/16 5:00,1
652,12/30/16 6:00,1
653,12/30/16 7:00,1
654,12/30/16 8:00,1
655,12/30/16 9:00,1
656,12/30/16 10:00,1
657,12/30/16 11:00,1
658,12/30/16 12:00,1
659,12/30/16 13:00,1
660,12/30/16 14:00,1
661,12/30/16 15:00,1
662,12/30/16 16:00,1
663,12/30/16 17:00,1
664,12/30/16 18:00,1
665,12/30/16 19:00,1
666,12/30/16 20:00,1
667,12/30/16 21:00,1
668,12/30/16 22:00,1
669,12/30/16 23:00,1
670,12/31/16 0:00,1
671,12/31/16 1:00,1
672,12/31/16 2:00,1
673,12/31/16 3:00,1
674,12/31/16 4:00,1
675,12/31/16 5:00,1
676,12/31/16 6:00,1
677,12/31/16 7:00,1
678,12/31/16 8:00,1
679,12/31/16 9:00,1
680,12/31/16 10:00,1
681,12/31/16 11:00,1
682,12/31/16 12:00,1
683,12/31/16 13:00,1
684,12/31/16 14:00,1
685,12/31/16 15:00,1
686,12/31/16 16:00,1
687,12/31/16 17:00,1
688,12/31/16 18:00,1
689,12/31/16 19:00,1
690,12/31/16 20:00,1
691,12/31/16 21:00,1
692,12/31/16 22:00,1
693,12/31/16 23:00,1
694,1/1/17 0:00,1
695,1/1/17 1:00,1
696,1/1/17 2:00,1
697,1/1/17 3:00,1
698,1/1/17 4:00,1
699,1/1/17 5:00,1
700,1/1/17 6:00,1
701,1/1/17 7:00,1
702,1/1/17 8:00,1
703,1/1/17 9:00,1
704,1/1/17 10:00,1
705,1/1/17 11:00,1
706,1/1/17 12:00,1
707,1/1/17 13:00,1
708,1/1/17 14:00,1
709,1/1/17 15:00,1
710,1/1/17 16:00,1
711,1/1/17 17:00,1
712,1/1/17 18:00,1
713,1/1/17 19:00,1
714,1/1/17 20:00,1
715,1/1/17 21:00,1
716,1/1/17 22:00,1
717,1/1/17 23:00,1
718,1/2/17 0:00,1
719,1/2/17 1:00,1
720,1/2/17 2:00,1
721,1/2/17 4:00,1
722,1/2/17 5:00,1
723,1/2/17 6:00,1
724,1/2/17 7:00,1
