,datetimehourly,totalsales,quantity,newcustomer,returningcustomer,queueline
389,12/19/16 4:00,0,0,0,0,0
390,12/19/16 5:00,0,0,0,0,0
391,12/19/16 6:00,37.27,2.486,0,1,1
392,12/19/16 7:00,57.13,3.811,0,1,1
393,12/19/16 8:00,0,0,0,0,0
394,12/19/16 9:00,0,0,0,0,0
395,12/19/16 10:00,145.32,9.695,0,3,3
396,12/19/16 11:00,130.55,8.709,2,1,3
397,12/19/16 12:00,62.3,4.156,0,1,1
398,12/19/16 13:00,0,0,0,0,0
399,12/19/16 14:00,0,0,0,0,0
400,12/19/16 15:00,27.46,1.832,1,0,1
401,12/19/16 16:00,100.67,6.716,1,1,2
402,12/19/16 17:00,0,0,0,0,0
403,12/19/16 18:00,0,0,0,0,0
404,12/19/16 19:00,0,0,0,0,0
405,12/19/16 20:00,0,0,0,0,0
406,12/19/16 21:00,0,0,0,0,0
407,12/19/16 22:00,0,0,0,0,0
408,12/19/16 23:00,0,0,0,0,0
409,12/20/16 0:00,0,0,0,0,0
410,12/20/16 1:00,0,0,0,0,0
411,12/20/16 2:00,0,0,0,0,0
412,12/20/16 3:00,0,0,0,0,0
413,12/20/16 4:00,0,0,0,0,0
414,12/20/16 5:00,0,0,0,0,0
415,12/20/16 6:00,0,0,0,0,0
416,12/20/16 7:00,0,0,0,0,0
417,12/20/16 8:00,0,0,0,0,0
418,12/20/16 9:00,0,0,0,0,0
419,12/20/16 10:00,0,0,0,0,0
420,12/20/16 11:00,159.91,10.668,1,2,3
421,12/20/16 12:00,0,0,0,0,0
422,12/20/16 13:00,53.81,3.59,0,1,1
423,12/20/16 14:00,88.01,5.871,0,2,2
424,12/20/16 15:00,52.3,3.489,0,1,1
425,12/20/16 16:00,0,0,0,0,0
426,12/20/16 17:00,0,0,0,0,0
427,12/20/16 18:00,64.7,4.316,0,1,1
428,12/20/16 19:00,54.88,3.661,0,1,1
429,12/20/16 20:00,0,0,0,0,0
430,12/20/16 21:00,0,0,0,0,0
431,12/20/16 22:00,0,0,0,0,0
432,12/20/16 23:00,0,0,0,0,0
433,12/21/16 0:00,0,0,0,0,0
434,12/21/16 1:00,0,0,0,0,0
435,12/21/16 2:00,0,0,0,0,0
436,12/21/16 3:00,0,0,0,0,0
437,12/21/16 4:00,0,0,0,0,0
438,12/21/16 5:00,0,0,0,0,0
439,12/21/16 6:00,0,0,0,0,0
