"","datetimehour","pt100_h2","pt11_h2","pt200_pressure","pt250_pressure","pt930_left","pt931_right","asDate","day_col","month_col","year_col","second_col","min_col","hour_col"
"116","30/04/2017 04:50:00 ",156.6840209961,155.928817749,455.2228088379,846.4265136719,89.524307251,48.3958320618,2017-04-30 04:50:00,30,4,2017,0,50,4
"117","30/04/2017 04:40:00 ",156.756362915,155.928817749,456.0908508301,846.7158813477,89.524307251,48.6354179382,2017-04-30 04:40:00,30,4,2017,0,40,4
"118","30/04/2017 04:30:00 ",156.9733734131,156.1284790039,456.6695556641,846.7158813477,89.6041641235,48.7951393127,2017-04-30 04:30:00,30,4,2017,0,30,4
"119","30/04/2017 04:20:00 ",157.118057251,156.5277709961,457.5376281738,847.0051879883,89.6041641235,49.0347213745,2017-04-30 04:20:00,30,4,2017,0,20,4
"120","30/04/2017 04:10:00 ",156.6840209961,156.1284790039,457.826965332,847.0051879883,89.763885498,49.1145820618,2017-04-30 04:10:00,30,4,2017,0,10,4
"121","30/04/2017 04:00:00 ",133.8252258301,133.1683959961,458.1163330078,847.8732910156,89.84375,49.274307251,2017-04-30 04:00:00,30,4,2017,0,0,4
"122","30/04/2017 03:50:00 ",78.993057251,78.263885498,459.563079834,848.1625976562,89.923614502,49.4340286255,2017-04-30 03:50:00,30,4,2017,0,50,3
"123","30/04/2017 03:40:00 ",63.2957191467,62.6909713745,447.9890136719,848.1625976562,89.923614502,49.59375,2017-04-30 03:40:00,30,4,2017,0,40,3
"124","30/04/2017 03:30:00 ",67.9253463745,67.0833358765,434.1001281738,848.451965332,90.0034713745,49.6736106873,2017-04-30 03:30:00,30,4,2017,0,30,3
"125","30/04/2017 03:20:00 ",69.0827560425,71.875,420.2112121582,848.7413330078,90.163192749,49.913192749,2017-04-30 03:20:00,30,4,2017,0,20,3
"126","30/04/2017 03:10:00 ",77.329284668,76.6666641235,410.0839233398,849.3200073242,90.163192749,49.993057251,2017-04-30 03:10:00,30,4,2017,0,10,3
"127","30/04/2017 03:00:00 ",82.03125,81.258682251,392.7228088379,849.609375,90.163192749,50.2326393127,2017-04-30 03:00:00,30,4,2017,0,0,3
"128","30/04/2017 02:50:00 ",86.8778915405,86.0503463745,379.123260498,849.609375,90.243057251,50.3923606873,2017-04-30 02:50:00,30,4,2017,0,50,2
"129","30/04/2017 02:40:00 ",92.013885498,91.241317749,365.5237121582,849.8987426758,90.3229141235,50.4722213745,2017-04-30 02:40:00,30,4,2017,0,40,2
"130","30/04/2017 02:30:00 ",73.133682251,72.0746536255,352.5028991699,850.1880493164,90.4027786255,50.711807251,2017-04-30 02:30:00,30,4,2017,0,30,2
"131","30/04/2017 02:20:00 ",65.7552108765,65.8854141235,342.0862121582,850.1880493164,90.5625,50.7916679382,2017-04-30 02:20:00,30,4,2017,0,20,2
"132","30/04/2017 02:10:00 ",67.7083358765,70.6770858765,326.4612121582,850.766784668,90.642364502,51.03125,2017-04-30 02:10:00,30,4,2017,0,10,2
"133","30/04/2017 02:00:00 ",72.771987915,75.6684036255,313.1510314941,850.766784668,90.7222213745,51.1111106873,2017-04-30 02:00:00,30,4,2017,0,0,2
"134","30/04/2017 01:50:00 ",77.7633132935,80.2604141235,304.1811218262,851.3454589844,90.7222213745,51.2708320618,2017-04-30 01:50:00,30,4,2017,0,50,1
"135","30/04/2017 01:40:00 ",82.9716415405,85.251739502,291.7390136719,851.3454589844,90.7222213745,51.430557251,2017-04-30 01:40:00,30,4,2017,0,40,1
"136","30/04/2017 01:30:00 ",87.9629592896,90.243057251,275.8246459961,851.6348266602,90.961807251,51.5902786255,2017-04-30 01:30:00,30,4,2017,0,30,1
"137","30/04/2017 01:20:00 ",93.0989608765,95.234375,263.3825378418,852.2135620117,90.961807251,51.6701393127,2017-04-30 01:20:00,30,4,2017,0,20,1
"138","30/04/2017 01:10:00 ",101.2008132935,100.225692749,254.701965332,852.5028686523,91.0416641235,51.9097213745,2017-04-30 01:10:00,30,4,2017,0,10,1
"139","30/04/2017 01:00:00 ",106.336807251,105.616317749,239.366317749,852.5028686523,91.1215286255,51.9895820618,2017-04-30 01:00:00,30,4,2017,0,0,1
"140","30/04/2017 00:50:00 ",111.545135498,110.8072891235,227.5028991699,852.5028686523,91.201385498,52.2291679382,2017-04-30 00:50:00,30,4,2017,0,50,0
"141","30/04/2017 00:40:00 ",115.017364502,116.1979141235,218.8223419189,853.0816040039,91.201385498,52.3888893127,2017-04-30 00:40:00,30,4,2017,0,40,0
"142","30/04/2017 00:30:00 ",87.2395858765,86.649307251,204.0653991699,853.9496459961,91.361114502,52.46875,2017-04-30 00:30:00,30,4,2017,0,30,0
"143","30/04/2017 00:20:00 ",34.071182251,33.3420143127,204.9334564209,822.1209716797,91.4409713745,52.6284713745,2017-04-30 00:20:00,30,4,2017,0,20,0
"144","30/04/2017 00:10:00 ",34.1435203552,33.3420143127,204.6441040039,822.1209716797,91.4409713745,52.788192749,2017-04-30 00:10:00,30,4,2017,0,10,0
"145","30/04/2017 00:00:00 ",34.1435203552,33.3420143127,204.9334564209,822.4102783203,91.5208358765,53.0277786255,2017-04-30 00:00:00,30,4,2017,0,0,0
"146","29/04/2017 23:50:00 ",34.1435203552,33.741317749,204.9334564209,822.6996459961,91.600692749,53.1076393127,2017-04-29 23:50:00,29,4,2017,0,50,23
"147","29/04/2017 23:40:00 ",34.288192749,33.741317749,204.6441040039,822.4102783203,91.7604141235,53.2673606873,2017-04-29 23:40:00,29,4,2017,0,40,23
"148","29/04/2017 23:30:00 ",34.288192749,33.741317749,207.826965332,853.9496459961,91.7604141235,53.506942749,2017-04-29 23:30:00,29,4,2017,0,30,23
"149","29/04/2017 23:20:00 ",34.288192749,33.741317749,207.826965332,853.9496459961,91.920135498,53.586807251,2017-04-29 23:20:00,29,4,2017,0,20,23
"150","29/04/2017 23:10:00 ",34.3605308533,33.741317749,207.826965332,853.6602783203,91.920135498,53.8263893127,2017-04-29 23:10:00,29,4,2017,0,10,23
"151","29/04/2017 23:00:00 ",34.3605308533,33.741317749,207.826965332,853.9496459961,92,53.9861106873,2017-04-29 23:00:00,29,4,2017,0,0,23
"152","29/04/2017 22:50:00 ",34.3605308533,33.741317749,207.826965332,854.2390136719,92,54.0659713745,2017-04-29 22:50:00,29,4,2017,0,50,22
"153","29/04/2017 22:40:00 ",34.4328689575,33.741317749,207.537612915,854.2390136719,92.1597213745,54.305557251,2017-04-29 22:40:00,29,4,2017,0,40,22
"154","29/04/2017 22:30:00 ",34.4328689575,33.9409713745,207.826965332,854.5283813477,92.319442749,54.4652786255,2017-04-29 22:30:00,29,4,2017,0,30,22
"155","29/04/2017 22:20:00 ",34.4328689575,33.9409713745,208.405670166,854.5283813477,92.319442749,54.625,2017-04-29 22:20:00,29,4,2017,0,20,22
